Company,CompanyLocation,Year,BeanOrigin,Continent,CocoaPercent,CocoaBin,IngredientCount,IngredientInitials,Rating
Alain Ducasse,France,2017,Mexico,North America,75.0,70-80%,6,"B,S,C,V,L,Sa",3.5
Alexandre,Netherlands,2017,Ecuador,South America,70.0,60-70%,3,"B,S,C",3.5
Alexandre,Netherlands,2017,Nicaragua,North America,70.0,60-70%,3,"B,S,C",3.5
Alexandre,Netherlands,2017,Tanzania,Africa,70.0,60-70%,3,"B,S,C",3.5
Alexandre,Netherlands,2017,Vietnam,Asia,70.0,60-70%,3,"B,S,C",3.5
Altus aka Cao Artisan,U.S.A.,2013,Venezuela,South America,60.0,50-60%,4,"B,S,C,L",2.5
Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,North America,60.0,50-60%,4,"B,S,C,L",3.0
Altus aka Cao Artisan,U.S.A.,2013,Bolivia,South America,60.0,50-60%,4,"B,S,C,L",3.0
Altus aka Cao Artisan,U.S.A.,2013,Bolivia,South America,80.0,70-80%,4,"B,S,C,L",3.25
Altus aka Cao Artisan,U.S.A.,2013,Peru,South America,60.0,50-60%,4,"B,S,C,L",3.25
Altus aka Cao Artisan,U.S.A.,2016,Bolivia,South America,60.0,50-60%,3,"B,S,C",2.5
Altus aka Cao Artisan,U.S.A.,2016,Peru,South America,60.0,50-60%,3,"B,S,C",2.5
Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,North America,60.0,50-60%,3,"B,S,C",2.75
Altus aka Cao Artisan,U.S.A.,2016,Ecuador,South America,60.0,50-60%,3,"B,S,C",2.75
Altus aka Cao Artisan,U.S.A.,2016,Peru,South America,60.0,50-60%,3,"B,S,C",3.0
Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,North America,70.0,60-70%,3,"B,S,C",3.0
Amano,U.S.A.,2007,Venezuela,South America,70.0,60-70%,4,"B,S,C,V",3.0
Amano,U.S.A.,2007,Madagascar,Africa,70.0,60-70%,4,"B,S,C,V",3.5
Amano,U.S.A.,2007,Venezuela,South America,70.0,60-70%,4,"B,S,C,V",3.75
Amano,U.S.A.,2008,Indonesia,Asia,70.0,60-70%,4,"B,S,C,V",2.75
Amano,U.S.A.,2009,Venezuela,South America,70.0,60-70%,4,"B,S,C,V",3.0
Amano,U.S.A.,2010,Venezuela,South America,70.0,60-70%,4,"B,S,C,V",3.0
Amano,U.S.A.,2010,Dominican Republic,North America,70.0,60-70%,4,"B,S,C,V",3.75
Amano,U.S.A.,2010,Ecuador,South America,70.0,60-70%,4,"B,S,C,V",4.0
Amano,U.S.A.,2011,Papua New Guinea,Oceania,70.0,60-70%,4,"B,S,C,V",4.0
Amatller (Simon Coll),Spain,2009,Ecuador,South America,70.0,60-70%,2,"B,S",2.75
Amatller (Simon Coll),Spain,2009,Ecuador,South America,85.0,80-90%,2,"B,S",2.75
Amatller (Simon Coll),Spain,2009,Ghana,Africa,70.0,60-70%,2,"B,S",3.0
Amatller (Simon Coll),Spain,2009,Ghana,Africa,85.0,80-90%,2,"B,S",3.0
Amazona,Peru,2013,Peru,South America,72.0,70-80%,3,"B,S,C",3.25
Amazona,Peru,2013,Peru,South America,73.0,70-80%,3,"B,S,C",3.5
Ambrosia,Canada,2015,Belize,North America,64.0,60-70%,4,"B,S,C,L",3.0
Ambrosia,Canada,2015,Madagascar,Africa,66.0,60-70%,2,"B,S",3.25
Ambrosia,Canada,2015,Dominican Republic,North America,75.0,70-80%,2,"B,S",3.25
Ambrosia,Canada,2015,Papua New Guinea,Oceania,63.0,60-70%,2,"B,S",3.25
Ambrosia,Canada,2015,Venezuela,South America,70.0,60-70%,2,"B,S",3.25
Ambrosia,Canada,2015,Peru,South America,68.0,60-70%,2,"B,S",3.5
Amedei,Italy,2006,Blend,Other,66.0,60-70%,4,"B,S,C,V",3.75
Amedei,Italy,2007,Ecuador,South America,70.0,60-70%,4,"B,S,C,V",3.0
Amedei,Italy,2007,Jamaica,North America,70.0,60-70%,4,"B,S,C,V",3.0
Amedei,Italy,2007,Grenada,North America,70.0,60-70%,4,"B,S,C,V",3.5
Amedei,Italy,2007,Trinidad,North America,70.0,60-70%,4,"B,S,C,V",3.5
Amedei,Italy,2007,Blend,Other,63.0,60-70%,4,"B,S,C,V",3.5
Amedei,Italy,2007,Venezuela,South America,70.0,60-70%,4,"B,S,C,V",3.75
Amedei,Italy,2012,Peru,South America,70.0,60-70%,4,"B,S,C,V",3.75
Amedei,Italy,2018,Madagascar,Africa,70.0,60-70%,4,"B,S,C,V",3.0
Amedei,Italy,2018,Venezuela,South America,70.0,60-70%,4,"B,S,C,V",3.0
Amedei,Italy,2018,Venezuela,South America,70.0,60-70%,4,"B,S,C,V",3.0
Amedei,Italy,2018,Blend,Other,75.0,70-80%,4,"B,S,C,V",3.5
Amedei,Italy,2019,Blend,Other,70.0,60-70%,3,"B,S,C",2.75
AMMA,Brazil,2010,Brazil,South America,85.0,80-90%,4,"B,S,C,L",2.75
AMMA,Brazil,2010,Brazil,South America,50.0,50-60%,4,"B,S,C,L",3.75
AMMA,Brazil,2010,Brazil,South America,75.0,70-80%,4,"B,S,C,L",3.75
AMMA,Brazil,2010,Brazil,South America,60.0,50-60%,4,"B,S,C,L",4.0
AMMA,Brazil,2013,Brazil,South America,75.0,70-80%,4,"B,S,C,L",3.25
Anahata,U.S.A.,2014,Dominican Republic,North America,75.0,70-80%,2,"B,S",3.0
Animas,U.S.A.,2016,Bolivia,South America,75.0,70-80%,2,"B,S",3.5
Animas,U.S.A.,2021,Belize,North America,75.0,70-80%,2,"B,S",3.0
Animas,U.S.A.,2021,Guatemala,North America,75.0,70-80%,2,"B,S",3.25
Ara,France,2014,Mexico,North America,72.0,70-80%,3,"B,S,C",2.5
Ara,France,2014,Ecuador,South America,75.0,70-80%,3,"B,S,C",2.75
Ara,France,2014,Madagascar,Africa,75.0,70-80%,3,"B,S,C",3.0
Ara,France,2014,Venezuela,South America,75.0,70-80%,3,"B,S,C",3.0
Arete,U.S.A.,2015,Brazil,South America,75.0,70-80%,2,"B,S",2.75
Arete,U.S.A.,2015,Guatemala,North America,70.0,60-70%,2,"B,S",3.25
Arete,U.S.A.,2015,Brazil,South America,70.0,60-70%,2,"B,S",3.5
Arete,U.S.A.,2015,Peru,South America,68.0,60-70%,2,"B,S",3.5
Arete,U.S.A.,2015,Dominican Republic,North America,70.0,60-70%,2,"B,S",3.5
Arete,U.S.A.,2015,Ecuador,South America,75.0,70-80%,3,"B,S,C",3.5
Arete,U.S.A.,2015,Ecuador,South America,70.0,60-70%,2,"B,S",3.75
Arete,U.S.A.,2015,Belize,North America,70.0,60-70%,2,"B,S",3.75
Arete,U.S.A.,2015,Nicaragua,North America,70.0,60-70%,2,"B,S",4.0
Arete,U.S.A.,2016,Ecuador,South America,70.0,60-70%,3,"B,S,C",3.25
Arete,U.S.A.,2016,Ecuador,South America,70.0,60-70%,3,"B,S,C",3.25
Arete,U.S.A.,2016,Fiji,Oceania,70.0,60-70%,2,"B,S",3.25
Arete,U.S.A.,2016,Vietnam,Asia,73.0,70-80%,2,"B,S",3.25
Arete,U.S.A.,2016,Trinidad,North America,70.0,60-70%,2,"B,S",3.5
Arete,U.S.A.,2016,Vietnam,Asia,73.0,70-80%,3,"B,S,C",3.5
Arete,U.S.A.,2016,Guatemala,North America,70.0,60-70%,2,"B,S",3.5
Arete,U.S.A.,2016,Honduras,North America,70.0,60-70%,2,"B,S",3.5
Arete,U.S.A.,2016,Tanzania,Africa,70.0,60-70%,2,"B,S",3.75
Arete,U.S.A.,2016,Nicaragua,North America,70.0,60-70%,3,"B,S,C",3.75
Arete,U.S.A.,2016,Dominican Republic,North America,70.0,60-70%,2,"B,S",3.75
Arete,U.S.A.,2016,Costa Rica,North America,70.0,60-70%,2,"B,S",4.0
Arete,U.S.A.,2016,Peru,South America,70.0,60-70%,2,"B,S",4.0
Arete,U.S.A.,2017,India,Asia,70.0,60-70%,2,"B,S",3.5
Arete,U.S.A.,2017,Madagascar,Africa,70.0,60-70%,3,"B,S,C",3.5
Arete,U.S.A.,2017,Vietnam,Asia,73.0,70-80%,3,"B,S,C",3.5
Arete,U.S.A.,2017,Peru,South America,70.0,60-70%,3,"B,S,C",3.5
Arete,U.S.A.,2017,Bolivia,South America,70.0,60-70%,2,"B,S",4.0
Arete,U.S.A.,2017,Haiti,North America,70.0,60-70%,2,"B,S",4.0
Arete,U.S.A.,2018,Trinidad,North America,70.0,60-70%,2,"B,S",3.0
Arete,U.S.A.,2018,Colombia,South America,70.0,60-70%,2,"B,S",4.0
Arete,U.S.A.,2019,India,Asia,70.0,60-70%,3,"B,S,C",3.0
Arete,U.S.A.,2019,India,Asia,70.0,60-70%,3,"B,S,C",3.25
Argencove,Nicaragua,2018,Nicaragua,North America,70.0,60-70%,2,"B,S",3.0
Argencove,Nicaragua,2018,Nicaragua,North America,70.0,60-70%,2,"B,S",3.25
Argencove,Nicaragua,2018,Nicaragua,North America,70.0,60-70%,2,"B,S",3.5
Argencove,Nicaragua,2018,Nicaragua,North America,70.0,60-70%,2,"B,S",3.5
Artisan du Chocolat,U.K.,2008,Congo,Africa,72.0,70-80%,3,"B,S,C",3.75
Artisan du Chocolat,U.K.,2009,Brazil,South America,72.0,70-80%,3,"B,S,C",1.75
Artisan du Chocolat,U.K.,2009,Venezuela,South America,75.0,70-80%,3,"B,S,C",2.5
Artisan du Chocolat,U.K.,2009,Indonesia,Asia,72.0,70-80%,3,"B,S,C",2.75
Artisan du Chocolat,U.K.,2009,Madagascar,Africa,80.0,70-80%,3,"B,S,C",3.0
Artisan du Chocolat,U.K.,2009,Peru,South America,75.0,70-80%,3,"B,S,C",3.0
Artisan du Chocolat,U.K.,2009,Dominican Republic,North America,72.0,70-80%,3,"B,S,C",3.25
Artisan du Chocolat,U.K.,2010,Costa Rica,North America,72.0,70-80%,3,"B,S,C",3.25
Artisan du Chocolat,U.K.,2010,Vietnam,Asia,72.0,70-80%,3,"B,S,C",3.25
Artisan du Chocolat,U.K.,2010,Indonesia,Asia,72.0,70-80%,3,"B,S,C",3.5
Artisan du Chocolat,U.K.,2010,Jamaica,North America,72.0,70-80%,3,"B,S,C",3.75
Artisan du Chocolat,U.K.,2011,Panama,North America,72.0,70-80%,3,"B,S,C",2.75
Artisan du Chocolat,U.K.,2011,Haiti,North America,72.0,70-80%,3,"B,S,C",4.0
Artisan du Chocolat,U.K.,2012,Colombia,South America,72.0,70-80%,3,"B,S,C",3.75
Artisan du Chocolat,U.K.,2013,Trinidad,North America,72.0,70-80%,3,"B,S,C",3.25
Artisan du Chocolat (Casa Luker),U.K.,2013,Colombia,South America,72.0,70-80%,4,"B,S,C,L",2.75
Aruntam,Italy,2021,India,Asia,72.0,70-80%,4,"B,S,C,L",3.25
Aruntam,Italy,2021,Madagascar,Africa,72.0,70-80%,4,"B,S,C,L",3.25
Aruntam,Italy,2021,Tanzania,Africa,72.0,70-80%,4,"B,S,C,L",3.5
Askinosie,U.S.A.,2007,Mexico,North America,75.0,70-80%,2,"B,S",2.5
Askinosie,U.S.A.,2007,Ecuador,South America,70.0,60-70%,2,"B,S",3.0
Askinosie,U.S.A.,2009,Philippines,Asia,77.0,70-80%,2,"B,S",3.75
Askinosie,U.S.A.,2011,Tanzania,Africa,72.0,70-80%,2,"B,S",3.75
Askinosie,U.S.A.,2011,Honduras,North America,70.0,60-70%,2,"B,S",3.75
Askinosie,U.S.A.,2016,Tanzania,Africa,68.0,60-70%,3,"B,S,C",3.75
Atypic,Australia,2019,Solomon Islands,Oceania,70.0,60-70%,4,"B,S,C,L",3.0
Auro,Philippines,2018,Philippines,Asia,77.0,70-80%,4,"B,S,V,L",2.75
Auro,Philippines,2018,Philippines,Asia,70.0,60-70%,3,"B,S,C",3.0
Auro,Philippines,2018,Philippines,Asia,70.0,60-70%,3,"B,S,C",3.0
Auro,Philippines,2018,Philippines,Asia,70.0,60-70%,3,"B,S,C",3.5
Avanaa,Canada,2021,Colombia,South America,70.0,60-70%,2,"B,S",2.5
Avanaa,Canada,2021,Dominican Republic,North America,70.0,60-70%,2,"B,S",3.0
Bahen & Co.,Australia,2012,Brazil,South America,70.0,60-70%,2,"B,S",2.5
Bahen & Co.,Australia,2012,Blend,Other,70.0,60-70%,2,"B,S",2.5
Bahen & Co.,Australia,2012,Madagascar,Africa,70.0,60-70%,2,"B,S",3.0
Bahen & Co.,Australia,2015,Blend,Other,80.0,70-80%,2,"B,S",3.25
Bahen & Co.,Australia,2015,Papua New Guinea,Oceania,70.0,60-70%,2,"B,S",3.5
Baiani,Brazil,2018,Brazil,South America,70.0,60-70%,2,"B,S",3.0
Bakau,Peru,2015,Peru,South America,70.0,60-70%,3,"B,S,C",2.75
Bakau,Peru,2015,Peru,South America,70.0,60-70%,3,"B,S,C",3.5
Bankston,U.S.A.,2019,Belize,North America,72.0,70-80%,3,"B,S,C",2.5
Bankston,U.S.A.,2019,Uganda,Africa,82.0,80-90%,3,"B,S,C",2.75
Bankston,U.S.A.,2019,Tanzania,Africa,72.0,70-80%,3,"B,S,C",3.25
Bar Au Chocolat,U.S.A.,2012,Dominican Republic,North America,70.0,60-70%,2,"B,S",3.25
Bar Au Chocolat,U.S.A.,2012,Mexico,North America,70.0,60-70%,2,"B,S",3.5
Bar Au Chocolat,U.S.A.,2012,Madagascar,Africa,70.0,60-70%,2,"B,S",3.75
Bar Au Chocolat,U.S.A.,2014,Peru,South America,70.0,60-70%,2,"B,S",4.0
Bar Au Chocolat,U.S.A.,2015,Brazil,South America,70.0,60-70%,2,"B,S",3.5
Bar Au Chocolat,U.S.A.,2017,Costa Rica,North America,72.0,70-80%,2,"B,S",3.5
Bar Au Chocolat,U.S.A.,2017,Trinidad,North America,80.0,70-80%,2,"B,S",3.5
Baravelli's,Wales,2012,Costa Rica,North America,80.0,70-80%,4,"B,S,C,V",2.75
Batch,U.S.A.,2016,Ecuador,South America,65.0,60-70%,3,"B,S,C",3.25
Batch,U.S.A.,2016,Dominican Republic,North America,65.0,60-70%,3,"B,S,C",3.5
Batch,U.S.A.,2016,Brazil,South America,70.0,60-70%,3,"B,S,C",3.75
Bean,U.K.,2019,Peru,South America,70.0,60-70%,4,"B,S,C,V",2.25
Beau Cacao,U.K.,2017,Malaysia,Asia,73.0,70-80%,3,"B,S,C",3.0
Beau Cacao,U.K.,2017,Malaysia,Asia,72.0,70-80%,3,"B,S,C",3.25
Beehive,U.S.A.,2016,Brazil,South America,80.0,70-80%,3,"B,S,C",2.75
Beehive,U.S.A.,2016,Dominican Republic,North America,70.0,60-70%,3,"B,S,C",2.75
Beehive,U.S.A.,2016,Ecuador,South America,70.0,60-70%,3,"B,S,C",2.75
Beehive,U.S.A.,2016,Ecuador,South America,90.0,80-90%,3,"B,S,C",2.75
Belcolade,Belgium,2010,Costa Rica,North America,64.0,60-70%,4,"B,S,C,L",2.75
Belcolade,Belgium,2010,Papua New Guinea,Oceania,64.0,60-70%,4,"B,S,C,L",2.75
Belcolade,Belgium,2010,Peru,South America,64.0,60-70%,4,"B,S,C,L",2.75
Belcolade,Belgium,2010,Ecuador,South America,71.0,70-80%,4,"B,S,C,L",3.5
Bellflower,U.S.A.,2016,Bolivia,South America,70.0,60-70%,3,"B,S,C",3.25
Bellflower,U.S.A.,2016,Tanzania,Africa,70.0,60-70%,3,"B,S,C",3.5
Bellflower,U.S.A.,2016,Dominican Republic,North America,70.0,60-70%,2,"B,S",3.5
Belvie,Vietnam,2018,Vietnam,Asia,75.0,70-80%,3,"B,S,C",3.25
Belvie,Vietnam,2021,Vietnam,Asia,70.0,60-70%,3,"B,S,C",3.75
Belyzium,Germany,2016,Belize,North America,83.0,80-90%,3,"B,S,C",2.75
Belyzium,Germany,2016,Belize,North America,78.0,70-80%,3,"B,S,C",3.0
Belyzium,Germany,2016,Belize,North America,83.0,80-90%,3,"B,S,C",3.5
Benns,Singapore,2018,Vietnam,Asia,72.0,70-80%,4,"B,S,C,L",3.0
Benns,Singapore,2018,India,Asia,72.0,70-80%,4,"B,S,C,L",3.0
Benns,Singapore,2018,Malaysia,Asia,72.0,70-80%,4,"B,S,C,L",3.0
Benoit Nihant,Belgium,2011,Madagascar,Africa,72.0,70-80%,3,"B,S,C",3.75
Benoit Nihant,Belgium,2011,Indonesia,Asia,72.0,70-80%,3,"B,S,C",4.0
Benoit Nihant,Belgium,2013,Cuba,North America,74.0,70-80%,3,"B,S,C",3.5
Benoit Nihant,Belgium,2013,Venezuela,South America,74.0,70-80%,3,"B,S,C",3.5
Benoit Nihant,Belgium,2013,Venezuela,South America,74.0,70-80%,3,"B,S,C",3.5
Benoit Nihant,Belgium,2013,Ecuador,South America,73.0,70-80%,3,"B,S,C",4.0
Bernachon,France,2012,Blend,Other,55.0,50-60%,5,"B,S,C,V,L",2.75
Beschle (Felchlin),Switzerland,2010,Venezuela,South America,70.0,60-70%,3,"B,S,C",3.25
Beschle (Felchlin),Switzerland,2010,Venezuela,South America,74.0,70-80%,3,"B,S,C",3.25
Beschle (Felchlin),Switzerland,2010,Indonesia,Asia,64.0,60-70%,3,"B,S,C",3.5
Beschle (Felchlin),Switzerland,2010,Venezuela,South America,72.0,70-80%,3,"B,S,C",3.5
Beschle (Felchlin),Switzerland,2011,Madagascar,Africa,64.0,60-70%,3,"B,S,C",3.0
Beschle (Felchlin),Switzerland,2011,Venezuela,South America,88.0,80-90%,3,"B,S,C",3.0
Beschle (Felchlin),Switzerland,2011,Venezuela,South America,72.0,70-80%,3,"B,S,C",3.5
Beschle (Felchlin),Switzerland,2011,Ecuador,South America,72.0,70-80%,3,"B,S,C",4.0
Bisou,U.S.A.,2015,Nicaragua,North America,76.0,70-80%,2,"B,S",2.5
Bisou,U.S.A.,2015,Costa Rica,North America,76.0,70-80%,2,"B,S",2.5
Bisou,U.S.A.,2015,Costa Rica,North America,78.0,70-80%,4,"B,S,C,V",2.5
Bisou,U.S.A.,2015,Belize,North America,86.0,80-90%,4,"B,S,C,V",3.25
Bitacora,Venezuela,2018,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",3.0
Bitacora,Venezuela,2018,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",3.0
Bitacora,Venezuela,2018,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",3.5
Bittersweet Origins,U.S.A.,2008,Madagascar,Africa,71.0,70-80%,2,"B,S",3.0
Bittersweet Origins,U.S.A.,2008,Ghana,Africa,70.0,60-70%,2,"B,S",3.0
Bittersweet Origins,U.S.A.,2008,Panama,North America,75.0,70-80%,2,"B,S",3.5
Bittersweet Origins,U.S.A.,2008,Dominican Republic,North America,68.0,60-70%,2,"B,S",3.75
Bittersweet Origins,U.S.A.,2009,Dominican Republic,North America,75.0,70-80%,2,"B,S",3.0
Bittersweet Origins,U.S.A.,2009,Madagascar,Africa,75.0,70-80%,2,"B,S",3.25
Bittersweet Origins,U.S.A.,2009,Dominican Republic,North America,65.0,60-70%,2,"B,S",3.5
Bittersweet Origins,U.S.A.,2009,Madagascar,Africa,65.0,60-70%,2,"B,S",3.5
Bittersweet Origins,U.S.A.,2010,Indonesia,Asia,65.0,60-70%,2,"B,S",2.75
Bittersweet Origins,U.S.A.,2010,Madagascar,Africa,70.0,60-70%,2,"B,S",3.0
Bittersweet Origins,U.S.A.,2010,Venezuela,South America,78.0,70-80%,2,"B,S",3.0
Bittersweet Origins,U.S.A.,2010,Indonesia,Asia,75.0,70-80%,2,"B,S",3.25
Bittersweet Origins,U.S.A.,2010,Blend,Other,70.0,60-70%,2,"B,S",3.75
Bittersweet Origins,U.S.A.,2012,Ghana,Africa,72.0,70-80%,3,"B,S,C",3.5
Bixby,U.S.A.,2018,Haiti,North America,70.0,60-70%,2,"B,S",3.0
Bixby,U.S.A.,2018,Guatemala,North America,70.0,60-70%,2,"B,S",3.0
Bixby,U.S.A.,2018,Dominican Republic,North America,70.0,60-70%,2,"B,S",3.25
Bixby,U.S.A.,2019,Belize,North America,70.0,60-70%,2,"B,S",2.75
Black Mountain,U.S.A.,2008,Dominican Republic,North America,70.0,60-70%,3,"B,S,C",2.75
Black Mountain,U.S.A.,2008,Venezuela,South America,70.0,60-70%,3,"B,S,C",2.75
Black Mountain,U.S.A.,2008,Nicaragua,North America,70.0,60-70%,3,"B,S,C",3.0
Black Mountain,U.S.A.,2021,Dominican Republic,North America,70.0,60-70%,4,"B,S,C,L",3.75
Black River (A. Morin),U.K.,2014,Jamaica,North America,70.0,60-70%,4,"B,S,C,L",2.75
Black Sheep,U.S.A.,2021,Colombia,South America,72.0,70-80%,3,"B,S,C",3.25
Black Sheep,U.S.A.,2021,Belize,North America,72.0,70-80%,3,"B,S,C",3.25
Blanxart,Spain,2009,Blend,Other,72.0,70-80%,4,"B,S,C,V",2.75
Blanxart,Spain,2013,Congo,Africa,82.0,80-90%,4,"B,S,C,V",3.5
Blue Bandana,U.S.A.,2012,Guatemala,North America,70.0,60-70%,3,"B,S,C",3.5
Blue Bandana,U.S.A.,2012,Madagascar,Africa,70.0,60-70%,3,"B,S,C",3.75
Blue Bandana,U.S.A.,2016,Guatemala,North America,75.0,70-80%,2,"B,S",2.75
Blue Bandana,U.S.A.,2016,Dominican Republic,North America,75.0,70-80%,2,"B,S",3.0
Blue Bandana,U.S.A.,2016,Madagascar,Africa,82.0,80-90%,2,"B,S",3.5
Blue Bandana,U.S.A.,2016,Tanzania,Africa,75.0,70-80%,2,"B,S",3.5
Boho,U.S.A.,2017,Belize,North America,70.0,60-70%,3,"B,S,C",2.75
Bonaterra,Malaysia,2019,Malaysia,Asia,68.0,60-70%,2,"B,S",2.5
Bonaterra,Malaysia,2019,Malaysia,Asia,72.0,70-80%,2,"B,S",2.75
Bonaterra,Malaysia,2019,Malaysia,Asia,74.0,70-80%,2,"B,S",3.25
Bonnat,France,2006,Sri Lanka,Asia,75.0,70-80%,3,"B,S,C",3.0
Bonnat,France,2006,Blend,Other,75.0,70-80%,3,"B,S,C",3.75
Bonnat,France,2006,Venezuela,South America,75.0,70-80%,3,"B,S,C",3.75
Bonnat,France,2006,Madagascar,Africa,75.0,70-80%,3,"B,S,C",3.75
Bonnat,France,2006,Venezuela,South America,75.0,70-80%,3,"B,S,C",4.0
Bonnat,France,2006,Venezuela,South America,75.0,70-80%,3,"B,S,C",4.0
Bonnat,France,2007,Ecuador,South America,75.0,70-80%,3,"B,S,C",2.5
Bonnat,France,2008,Venezuela,South America,75.0,70-80%,3,"B,S,C",4.0
